movie,user_review,sentiment
Crimea,"This movie - its russian propaganda. Its mean - in movie alot of fake. Many things never was in real life. Movie - very boring... I dont know who lost millions dollars for nothing. But movie - is nothing. U can check rating - 10 - 156 votes (0,5%) , 9 -21671 votes!!!!!! (67,6%) - How its possible ?????? Its mean - before that movie was in razzie rating - worst movie. But now - rating exellent - like one of the best movie on the site! Its mean - rating is fake. My rating - 1. Its too much for them. Better - 0.",negative
Crimea,They do a better job of explaining this expo than I could. Seriously. good. Not Reboot. Not Gender flip.,positive
MSG: The Messenger of God,"MSG: ------------------ If you're planning to boost your confidence, & trying to come out of depression then you must watch this movie --> MSG: Messenger Because after watching this there won't be any bad thing left to worry about in life(as this will be the worst of all of them).The 5% of the movie is about the Holyman: Sant Gurmeet Ram Rahim Singh ji Insaan etc etc, his enemies & how they are trying to kill him in different ways.. rest of the movie is about what all the powers the baba has & what all the great stuffs he has done for the society. Some powers are mentioned as follows: >Generating electricity with a tip of index finger. >Converting firing bullets to flowers >Snatching Guns, melting in air, then making a crown out of it >Hypnotizing 500s of goons & making them followers instantly >Killing terrorists with playing mouth organ >Breaking an entire tree into pieces with a single punch >Punching 1 car and making fly 7 other cars >Producing water from drought land >Flying the bike, landing to the air balloon with a powerful bomb, making it blast, then jumping it back to the exact same position & many more... Some Actions baba is doing: >running blood donation camp >running free food for poor program >drug addicts rehabilitation centers >prostitutes rehabilitation centers >orphanage free homes >Clean India mission >Rock nights for youth & basically everything what Govt suppose to do...The movie is a long non-ending commercial of Dera Sachcha Sauda.. Where it is claimed that baba has total 5 crores of followers worldwide.Music: If you like the noise of running generator, then you'll definitely fall in love with all songs of this movie, which baba only has sang. The only difficulties is to understand the language in which all songs has been recorded, definitely not Hindi or English. The songs can start at any time, you can not even predict it. It comes liked unwanted mosquitoes who comes uninvited in your room, produce noise, bites you, then left you with their irritating marks all over.When you expect the great story has been ended, it start all over again with a new 'thrilling' baba's adventure. One thing is for sure, whatever you dress in life, whats so ever designer dress you buy for yourself, you can never ever ever ever ever beat the baba's style & fashion senses... he is just too good for any Earth resident.Overall its a movie you must watch before die, to set it as a benchmark for the hardest thing you've ever done in your life.So Go watch now.. before its too late.... because PART2 is coming soon.... [**i am going on a mental break for few weeks now***]",negative
MSG: The Messenger of God,"MSG-The Messenger emerged as a social reforming movie in the film industry. The movie has raised various issues of improving the society by tree plantation, cleanliness campaign and ban on drug. The movie is explanatory that how drug mafia targets a country. Each and every song of the movie is dedicated to love with God. The song 'desh k liye 'is fully energetic. The acting of Suspense and other action scenes is beautifully played by all the actors.the last dialogue of the movie leaves its great impact on the viewer and give the true message about humanity and human beings. The direction of all the real happenings in the form of story is beautifully shown. Thus the movie is not as one has thought like pravachans but all the humanitarian service activities are beautifully pearled in the garland of MSG",positive
Vivegam,"This is another typical one man taking on hundreds of goons kind of movie. Do not waste your time and money on this piece of waste. Kajal is just a side character with no real importance at all and is just a filler. expected much after the success of Vedalam, but this is a plain mockery ! watch at your own risk",negative
Vivegam,"The reason for saying it is a must watch is because, at least after seeing this movie, the impression on Indian Action movies among the audiences will change. This is one hell of an action ride.The movie revolves around a SPY agent 'AK' and his quest to stop the people who wants to create artificial earthquakes using Plutonium weapons.I like this movie not because the genre is new to Indian Cinema. It is because the way they executed it. Apart from some cliché heroism like evading hundreds of bullets, the movie is executed upon a beautiful emotional quotient.The stunt sequences are too brilliant and the way it was conceived by the writer and executed by him. Coming to the story part, the writer(and director) Siva has come up with the usual spy story. But instead of exploring the story, he made it a cat and mouse game kinda screenplay. It itches a little bit when we see something that could've been explored better was left to be a thin plot instead.Pros : 1. Jet Speed Screenplay, 2. Action Sequences,3. Ajith's Screen Presence4. Siva's Direction5. No smoking, drinking, glamour scenes or vulgar dialogues.6. Screenplay talking about self motivation and positivity.Cons :1. CG could've been better.2. Climax is tooooooo f*****g dramatic.3. Predictable interval twist.I came by some reviewers saying it is not logical in some scenes (like the dam scene). I would say, ""Folks! This is how spy movies are made. This is how action movies are made. Period!!!"" If you can accept people falling from planes with their cars, why would this disturb you? Just because it is an Indian movie?? or because it is not directed by Shankar or Rajamouli?? Change your view people. Take pride when it happens.Overall: This movie is a treat for Action Movie lovers. It is a WORTHY PopCorn Flick. Go for it!!!",positive
Boss,The usual story with usual action sequences. The major disappointment in this film was they show the hero of the movie Akshay 30 mins after the movie starts. A commercial films must show the main character first.,negative
Boss,"the movie has lots of action scene which are excellent only and acting by all characters are amazing specially ronit roy and akshay kumar.when you see ronit roy you actually found that you hate ronit in this movie great job by him.when you see the movie you see lots of turning point and corners which are amazing. the movie show the loves for father which is very good point. when you see the when you never think for story in your mind it did not give time for it as the right song comes at right time which makes the movie more enjoyable, its the best dramatic action movie of the year. when i comes out i m only saying that it is the paisa vasool movie because it is,so never think about the movie go and watch it you love the movie.",positive
Srimanthudu,"How in the world did this movie get 7.9 rating in IMDb? Makes one really wonder about the credibility of these ratings.Predictable from beginning till the end.Clichés after clichés following a pathetic story line.Basically the same old story of every other commercial Telugu movie, different plot and cast nothing else.Nothing new,Nothing to entertain nothing other than the same old, same old.The hero kills like 20 people and walks away in spite of one of the dead being an ex minister. Really tests the amount of bullshit one can handle.I guess the people who gave this movie a rating higher than 3 have a really high tolerance for bullshit or you get the drift. Speaking of acting the hero barely has any comprehensible emotion on his face,same bland macho expression all the time.And to think shruti hassan was nominated for best ""actress"" for this film,Actors by definition should act not only look good on screen.But i guess whoever nominated her for the award doesn't even understand.No wonder shitty movies like this gets 7.9 rating....",negative
Srimanthudu,"Director Koratala Siva comes out with an unique subject and presents truly more than what he wrote. His screenplay makes you sit for around 3 hours without complaining about a single scene. As they said in the interviews every scene is connected to another and you never feel that a particular scene is wasted. Mahesh Babu is outstanding as usual and nobody can do well than him if this kind of script comes to them. Mahesh is stylish as usual and looking more glamorous too. Definitely he is going to surprise the fans and others with his stunning performance, which is his best so far. Shruti Hassan does a key role in the film, not only as a lead lady, but also forms the limb for the power packed screenplay. Jagapathi Babu and Rajendra Prasad along with other huge star cast plays every character perfectly and one cannot imagine someone else playing those characters on screen. Not even a single character got wasted and not even a single frame went useless. DeviSriPrasad comes out with a energetic performance again as said by many. Background score and songs are as usual rocking and Madhie is the man to talk about. He is the one who presented the vision of director Siva in an extraordinary way. Editing, Choreography and all other departments are flawless.Simply - Mahesh did another film which nobody can do and Srimanthudu turns another blockbuster in his career and Srimanthudu is truly a classic in Telugu film industry. You cannot compare this kind of films with any other films and you cannot imagine these kind of films in the future. Lets hope for the best.",positive
The Human Race,"i'm honestly just writing this because of the high score and 2 rave reviews obviously written by people involved with the project. i feel like i was duped into watching it. so here's an honest review: this is a terrible movie. it's poorly written, and badly acted. only exception is the deaf girl. she wasn't bad, given the material she had to work with. it's just lazy filmmaking, seems like. says nothing about the human condition (as purported from the existing reviews), only the sophomoric insight of a film-school reject who saw one too many eli roth movies. seriously, avoid at all costs.",negative
The Human Race,"The first thing you need to know about this film is that it is low- budget, funded by a kickstarter project and it doesn't have a single person in it that is known in the movie world. That being said, this film is a brilliant indie that deserves to be in the spot-light. Smart, creative, well-made and seriously dark and disturbing, The Human Race restores my faith in filmmaking and the movie industry. Although this film is not for the film-goer who can only see films with bloated budgets and celebra-whores, the movie goers that do appreciate a film that takes risks and takes the honest yet disturbing route of displaying characters in ways that you're definitely not use to seeing, you will love and appreciate this film as much as I did. This film takes the classic Battle Royale storyline and pulls it deeper into the horror genre by showing a much darker side of the survival of the fittest as well as creating imagery that borders on comic book fantasy. Setting aside the awesome storyline and the genius way in which the film tells the tale, the director/writer respectfully showcases characters that are disabled yet are the strongest competitors and yet are also the weakest. I am in serious awe of this film and I hope others will enjoy it and see it for what it is as much as I do.Please like me on Facebook! You can read more of my reviews and get info on the latest movies in horror:http://www.facebook.com/pages/I-Heart-Horror/338327476286206",positive
Kabali,"Let's be honest here, if this movie didn't have Rajinikanth, nobody would've given two f*cks about it because it's that awful and cringeworthy. It has to be one of the most lacklustre movies I've ever watched and comes as a huge disappointment after all the hype and media coverage it got. It's got an extremely banal plot of a Malaysian Tamil gangster Kabali, portrayed by Rajini, involved in a gang war with a local don. There's another storyline that runs parallel, that of his personal life which is even more insipid and overplayed. Radhika Apte as Kabali's wife has done a decent job but one cannot expect her to save a plot so weak that even the great superstar Rajini couldn't infuse life into. There's no humour, no punch lines, no message to take from the movie. In fact, the only time I laughed during the entire movie was when my friend walked into the door during the interval. The film went on in a monotonous manner until the end and the best moment was when the end credits rolled on, bringing an end to the viewer's suffering. Of course, a lot of Rajini fans loved the movie and said it was the best movie in the history of mankind but 5 minutes into the movie, any guy with a functional brain will know that it's all rubbish. Overall, I'd recommend not wasting your time on this lousy excuse of a movie made with the sole intention of cashing in on Rajini's reputation and raking up money.",negative
Kabali,"It is a very nice movie with limited songs and almost zero dance, Which is something special about this movie.Rajini lovers please watch the movie and please notice his dressing style. Its Awesome!!!Makeup Artist has done a great job.Dunno why people said its draggy, which I totally dint feel.Watch the movie and come to a conclusion, don't listen to what people say( Includes my opinion too).Please do not read reviews and go with the same expectation because people have different tastes.I personally liked every bit of it.Overall a nice move. Will not disappoint fans.",positive
Bharath Ane Nenu,Yeah!! they managed to do the same things again congrats team ..I..,negative
Bharath Ane Nenu,"Koratala Siva has directed a film that appeals to both class and mass groups. Learning from his mistakes in his previous films, especially from his weak and unsettlingly quick climaxes, he has drastically improved. As for the performances, Mahesh Babu has delivered one of the best performances of his career. Not only him, but all supporting cast members have also delivered aptly.What to expect: Political Drama with Commercial Indian Cinema ElementsPros: Storyline, Production, Cinematography, Direction, Performances, Dialogues, Background ScoreCons: Some Lagging Moments (Necessary for Character Development; Excusable)Final Rating: 10/10",positive
Redirected,"This was one of the worst high rated movies I've ever seen. Made me so mad, I gave it rating 1, just because it was so overrated. I mean 8,7 from 12.000 users? Have you actually seen the movie before you rated it? I read somewhere this is the first Lithuanian movie to be accepted internationally. Well, if it means this is the first Lithuanian movie I've ever seen, then it's probably right. It's a Guy Ritchie meets Emir Kusturica. The acting is very thin, though. It's full of Eastern Europe clichés, but it's so overt, it's not even funny. I knew what to expect in each of the following dialogues 10 minutes into the movie. I fast forwarded through certain parts.In conclusion, if you want to see a bad ass, fast-cut, violent Brit movie, go see the Snatch. If you want to see an Eastern European movie, see the Underground. If you want to see a mix of the two, and a bad one if I might add, see this.",negative
Redirected,"I never thought that a movie with such a small budget could ever be made so well. And it's not some haunting house horror, but a full caliber of action, movie. I will not say, that it reached an A level quality, but comparing this one with other E. Velyvis previous works, ""Redirected"" is almost brilliant. The script on my opinion had few significant mistakes, but it did not stop me from enjoying the movie. Frankly, I couldn't stop crying while watching it, how funny that was from me. Though ""Redirected"" is orientated to the wider audience, I have to admit that there are some amazingly funny moments that will be understood only by a true Lithuanian (the scene with the emergency was crazy, but what is more crazy that it was actually based on a true story; or the old man in the forest making illegal hooch, witch is extremely popular in the country, I myself as a kid used to steal billets from there). The other east Europeans should also find something familiar.. :} but must not forget director uses lots of dark comedy. But overall I am pretty sure the West world will also enjoy the movie very much. They too will be able to recognize them self and how they look in the eyes of east ;] You know what, I can't wait to see it again.",positive
Waar,"I watched the movie with a great expectations after rave reviews and praise from friends! I heard a great things about its action sequences and storyline! But, watching movie resulted into sheer disappointment. Yes, this movie had great production value and great performances, the storyline is totally compromised and totally away from reality. The movie very well captures the emotions of common Pakistanis, but it totally misguides us. As always, the movie shows that India is behind all our problems and we are totally innocent. All the problems have been imported from outside. I believe that unless we will live in such ignorance and do not take full responsibility, we would not be able to address the actual problem our nation faces. Coming back to the movie, the performances, screenplay, camera-work and direction is one of the best I have seen in Lollywood for long time. But, the story is totally fictional and gives wrong message to nation.",negative
