movie,user_review,sentiment
Manjhi: The Mountain Man,"With due respect to Nawaz's acting and the man 'Dashrath Manjhi' who did such an insurmountable task, I would like to say that this shouldn't be classified as a movie, neither should it be classified as a documentary. It is not even a one-time watch.In the worst case scenario, it is a one-time watch, but only till intermission. People making such movies should consider on tweaking the storyline so that the movie emerges out as a good experience for viewer. I don't know what people found interesting in this movie but I will try to summarize my experience in following points :1. Entertainment - 4/10 This is only because of the first half of the movie, which is decent in terms of providing entertainment value to the viewers. The second half will almost literally compel you to sleep in theatre. 2. Determination - 5/10 People are confusing psychotic fad shown in the movie with words like 'determination' and 'willpower'. 3. Romance - 7/10This is not even a complete story. It is just a 2 hour long fact that a man carved out a path out of mountain in memory (psychotic fad) of his wife who passed away in an accident on mountain.4. Action - 2/10 Almost nil. There is a lot of time devoted in the movie to show misdeeds by highbrow goons. Even till the end, the dots for their punishment doesn't get connected despite of the fact that they are involved till end in the plot with Nawaz's character. All we get is just an 'out of nowhere' loose scene.5. Adventure - 2/10 Except for the maniac mountain crushing there is nothing at all. 15 minutes of futile scenes showcase Nawaz's travel from Bihar to Delhi by foot just to make the premise of a useless 2 minute scene in Delhi. It may have happened in real as it is based on a real story but from a movie perspective it was absolute rubbish in order to portray determination of the character.",negative
Manjhi: The Mountain Man,"Expect no grandeur and very un-Bollywood-like. The plot of the movie unfolds quite slowly like a classic movie should be, building up gradually in the first half and then you are so engrossed into the movie, that you hardly realize how quickly the second half passed by. Nawazuddin Siddiqui could have been the only actor at of today who could do justice to this role. Ketan Mehta has made sure that the real touch in this movie sticks as close to the actual incidences and he has succeeded thoroughly. Many filmmakers attempt to use or portray the themes from this part of India (like Amir Khan's PK or Salman Khan's Dabang). One can easily find that genuineness of Bihari culture is so hollow that it brings down the impact of the movie, rather than uplift it. The way all the actors have delivered their dialogues or put on their costumes is phenomenal. Siddiqui's performance is a stand-out and without doubt, it'll a benchmark in Bollywood, IMHO. Craziness of Manjhi is a legacy for Indians and Siddiquit has succeeded in bringing that out on the silver screen.",positive
Go Goa Gone,"Go Goa Gone is truly one of the most hilarious Hindi films since Delhi Belly. It's a zombie comedy, with lots of blood and gore, so it's in no way for the squeamish, and the humor is quite mature, so it's NOT a child-friendly watch, but, hey, it's the subject matter itself which isn't really kid-suitable.Nevertheless, Go Goa Gone sets out to bring a new genre into Indian cinema with great gusto, and it fails to fail. With rib-tickling lines, great comic acting by Kunal Khemu, Vir Das, Anand Tiwari, and even Saif Ali Khan as the quirky, macho Boris (soon to be one of the greatest cult characters of all of Hindi cinema), Go Goa Gone FORCES you to laugh effortlessly.Yes, the plot gets a little dragging at the second half, and Puja Gupta's acting isn't very novel (although she looks great), but mostly, Go Goa Gone just always makes you laugh at one point or the other. I was chuckling at every other moment. The zombies are well-made, for a first in Bollywood, and nothing looks cheap. The action is pretty nice, and the songs are quirky and trippy.I highly recommend this to anyone who wants to have a good laugh-fest. Except the kids, of course...",negative
Go Goa Gone,"It's a rarity for Indian movies to step beyond the conventional(and convenient) love stories and venture into the unknown.'Go Goa Gone' tries that and does a commendable job.You have heard of romcoms,now there is a new genre and it's called 'ZomCom!'.The movie stars Saif Ali Khan,Kunal Khemu,Vir Das and many many zombies.There is good chemistry between the friendly trio of Luv,Hardik and Bunny.There's lot of slapstick humor,plenty of boisterous moments.The trio attend a rave party in Goa where all goes wrong.Thanks to a drug,suddenly zombies are spawning out of the blue and they are hungry for any human they can find.The trio find themselves stranded on an island with zombies all around and no way out.Enter Saif Ali Khan as a Russian mafia Boris.Off late Saif's acting has really transcended to a new level of confidence and this role is an example of that.His character is just so amazing.His dialog delivery with that Russian accent,his intimidating yet adorable looks,his intriguing persona-are all things you will love about him.You get a kick within when he says with that Russian accent- 'I kill dead people'.The rest of the cast has acted pretty good as well and i liked Kunal Khemu's(Hardik) performance.There are plenty of genuinely funny moments.Don't try applying your mind too much or connecting the dots,this one is just meant for fun.Watch it and enjoy!",positive
Table No. 21,"Worst movie I've ever seen and I watched jiu jitsu, absolutely waste of time.",negative
Table No. 21,"Excellent Movie!!! i would rate among the top 3 Bollywood movies of 2013!! Does not have a star cast but hits the bulls eye, gives out its message at the end!! The torture and suspense keeps u glued, not even a minute is boring!!! Story, Acting, Direction, locations, Everything is perfect Excellent Movie!!! i would rate among the top 3 Bollywood movies of 2013!! Does not have a star cast but hits the bulls eye, gives out its message at the end!! The torture and suspense keeps u glued, not even a minute is boring!!! Story, Acting, Direction, locations, Everything is perfect. A must watch if you are looking for a non- masala, realistic and logical movie with a good message at the end!!",positive
Theeb,"Set during the Ottoman province of Hijaz during World War I, we meet a tribe of whom Theeb ('Wolf') is the son of the late Sheik. One night a friend arrives with a British officer seeking a guide across the desert. This turns out to be his brother's job but being an inquisitive young boy he sneaks along and so begins his coming of age.To say anymore might be a plot spoiler. This is an interesting film but it is not an action packed affair. There is a bit of action, but this is more psychological in how it deals with the extremes that befall the characters and how they deal with them. It has moments of tension and can be violent in places and I found a lot to praise in this UAE, Jordan, Qatari and British co production.In Arabic with a small amount of English, and good sub titles this is one of those films that will stay with you – but in a good way – recommended for World cinema fans.",negative
Theeb,"The film grabs a hold of you and does not let go until after the credits are finished rolling. The film is through the perspective of the young naive boy who has grown up in an isolated desert, he is curious, mischievous and then struggling to survive. Theeb succeeds in capturing the intelligence and the regality of Bedioun life that the Western gaze is incapable of doing. While this film is set during World War II, the war and conflicts are simply in the background, and the focus is on the tribal law and way of life of the nomadic, hospitable Bedouin. The film feels very authentic and well-researched. An epic coming of age story on boyhood, manhood, survival and code of ethics. Beautiful representation of the disappearing Bedouin way of life.",positive
Dragon Ball Z: Battle of Gods,"OK just to make it clear, the guys who reviewed it and gave it a 9 out of 10, aren't DBZ fans at all.I've loved that manga since early 90's, as a teenager, and loved all OVA (first broly being the best of them all) . I brought in a friend that is a huge fan too, relaxed, closed curtains, watched the movie... and we waited ; we waited for the story to skip the poor jokes and so on. Until I realised it was exactly designed the same way the previous Tarble anime was, poor humour, poor enemy's design, motivation, etc. The realisation is OK, but I really can't believe Akira Toriyama took part into that , and if so, I would be ultimately disappointed. How can people consider that to be a dragon ball movie, when there is only kawai fan service? Bills, is an absolutely empty shell character, the story is for kids. If you're over 10 , you might really be upset about this being called Dragon Ball. Only time we probably enjoyed was the overall 5-10 minutes fighting sequence, and that was really to say that something was still kind of brought back from the old DBZ and updated with today's technical improvements. So to summarize : if you're a real hardcore DBZ fan (meaning you didn't even wasted your time watching GT, as I did) , you'd better skip this movie, even if I know curiosity will prevail, but don't' have huge expectations, this is simply the WORST dragon ball movie I've ever seen. My buddy asked me seriously if that was a dragon ball parody movie or if it was real... Please Toei guys and Toriyama san , if you read that, please never do that again to your real fans. You just dealt a fatal blow to that magic manga that dragon ball is , and I'm not sure I'd go for a next movie if it's so bad. You have been warned guys.",negative
Dragon Ball Z: Battle of Gods,"Finally for all these days it came true, A new Dragon Ball Z Movie came up.I was so happy to hear the news for the first time, guess what? i was the one who requested and added this page to IMDb just to let the world know about the movie more and share its information as IMDb is the best for it.I love the Akira Toriyama's story in this, the battles so intense, loved watching it :D and the way story lines ended, seems as in Future we could see more of Dragon Ball Z, hoping for a new Series just like before and i am hearing rumors that there will be one? i believe there should be one as now we know there is 7 other Universe in it, wow hoping that there will be few more people like Goku who are just as or more powerful than him, Akira PLEASE WE WANT MORE!!!",positive
