movie,user_review,sentiment
Dragon Ball Z: Battle of Gods,"OK just to make it clear, the guys who reviewed it and gave it a 9 out of 10, aren't DBZ fans at all.I've loved that manga since early 90's, as a teenager, and loved all OVA (first broly being the best of them all) . I brought in a friend that is a huge fan too, relaxed, closed curtains, watched the movie... and we waited ; we waited for the story to skip the poor jokes and so on. Until I realised it was exactly designed the same way the previous Tarble anime was, poor humour, poor enemy's design, motivation, etc. The realisation is OK, but I really can't believe Akira Toriyama took part into that , and if so, I would be ultimately disappointed. How can people consider that to be a dragon ball movie, when there is only kawai fan service? Bills, is an absolutely empty shell character, the story is for kids. If you're over 10 , you might really be upset about this being called Dragon Ball. Only time we probably enjoyed was the overall 5-10 minutes fighting sequence, and that was really to say that something was still kind of brought back from the old DBZ and updated with today's technical improvements. So to summarize : if you're a real hardcore DBZ fan (meaning you didn't even wasted your time watching GT, as I did) , you'd better skip this movie, even if I know curiosity will prevail, but don't' have huge expectations, this is simply the WORST dragon ball movie I've ever seen. My buddy asked me seriously if that was a dragon ball parody movie or if it was real... Please Toei guys and Toriyama san , if you read that, please never do that again to your real fans. You just dealt a fatal blow to that magic manga that dragon ball is , and I'm not sure I'd go for a next movie if it's so bad. You have been warned guys.",negative
Dragon Ball Z: Battle of Gods,"Finally for all these days it came true, A new Dragon Ball Z Movie came up.I was so happy to hear the news for the first time, guess what? i was the one who requested and added this page to IMDb just to let the world know about the movie more and share its information as IMDb is the best for it.I love the Akira Toriyama's story in this, the battles so intense, loved watching it :D and the way story lines ended, seems as in Future we could see more of Dragon Ball Z, hoping for a new Series just like before and i am hearing rumors that there will be one? i believe there should be one as now we know there is 7 other Universe in it, wow hoping that there will be few more people like Goku who are just as or more powerful than him, Akira PLEASE WE WANT MORE!!!",positive
Astérix: Le domaine des dieux,"I was a big fan of the original ""Asterix"" comic books when I was a kid. Still am, as a matter of fact. So when I came across this French computer animated adaptation of the Asterix comic book ""The Mansion of the Gods"" on Netflix, I was curious to see how well it would be done. I still remember very well the particular Asterix comic book this movie adapted, and I have to say this adaptation is pretty well done. The second half of the movie pretty much stops following what happened in the comic book in order to do its own thing (and to stretch the story to feature length), but the changes to the story do feel straight out of a typical Asterix comic book. The humor (and there's plenty of it) has the exact tone, and happens to be pretty funny. The computer graphics don't quite have the Hollywood polish, but they are colorful and acceptably detailed. The only caution I would deliver to potential viewers is to inform them that they should read some of the original Asterix comics first before watching this movie, since there are some (minor) details that might be confusing for those not familiar with the comics.",negative
Astérix: Le domaine des dieux,It's everything a movie about Asterix should be.The spirit found in Uderzo & Goscinny works breathe true this movie. The subtle humor and those sweet eye winks like the authors always did in their books. The best Asterix animation to this day and trust me i've been a fan for 40 years. A total delight for the family and even for people who don't know Asterix world and the characters it will be easy to get to know them and have a lot of good laughs.I have been really please and surprise by this animation as all movies done about Asterix were not as authentic and enjoyable like this.I definitely wishing they do another one soon!!!,positive
Harlock: Space Pirate,"This review is nothing but spoilers. Read it or don't, but please don't watch this horrible movie. Below I detail Commander Kill Everyone's sincere efforts to single-handedly KILL EVERYONE.01. When you find out about government corruption destroy planet Earth and kill tens of billions of people.02. Pursue plan to DESTROY THE ENTIRE UNIVERSE which will kill hundreds of billions of people.03. Kill countless people on dozens of ships while executing the plan to destroy the universe.04. Scratch plan to destroy the universe.05. Perform attack that will kill countless people on dozens of ships to inform humanity that it may not be ENTIRELY doomed to extinction (but it probably is, and that's OK).",negative
Harlock: Space Pirate,"It is certainly not a film for children, because of some hidden contents and messages, and also for how some topics have been treated. Yet, Captain Harlock embodies an ideal of freedom that we all seek, since we are babies. For all our attempts to act in full autonomy, we are seen as ""different"" and judged, often condemned. This animated rendering film is a potential Digital Masterpiece, compelling and convincing. The job done by the creators is almost perfect. The attention is captured since the end, and the figure of Captain Harlock is seen by the eyes of the ""others"", and yet it's heavily present, in the Whole film! You must see it!",positive
"Dragon Ball Z: Resurrection ""F""","If you are like me (a passionate DBZ fan who grew up diligently tuning in to every episode) then you'll be ashamed with how this latest instalment scars the legacy created during our childhood. There's getting it wrong and then there's getting it horribly incorrect and DBZ have achieved the latter with this time waster, if you asked me to describe it in 3 words they'd be 'rushed, sloppy' I know that's only 2 words but in truth this film doesn't deserve a third word, it also didn't deserve my attention for however long I spent pushing my eyes towards suicide. I can only think that this was directed and funded by people who dislike DBZ, that would describe the plot with unforgivable holes all over the place and the so called action which is dreadful and painful to watch, Goku probably needs to sue DBZ for terrible misrepresentation of his character. Anyone that says this rushed, unchoreographed, pathetic excuse of a film is good would've been paid a big fee to say so, I can honestly say the best part of this film is the credits, retire now DBZ!!!",negative
"Dragon Ball Z: Resurrection ""F""","This is the Dragon Ball Z Movie experience I always wanted. While Battle of Gods was an amazingly fun light-hearted adventure, this is the badass action-packed DBZ that we wanted since the Cell Saga.Goku and Vegeta have now ascended to Gods with Whis as their new master. I absolutely loved the exploration of Goku and Vegeta's character dynamics and development throughout the training scenes, with Whis not only being a physical mentor but a spiritual one as well. Bills provides much of the comedy in his own unique manner as one of the best new DBZ Characters ever. Speaking of new characters, I'm pleasantly surprised by Frieza's new minions, especially Sorbet as he's actually useful throughout the movie and not just fodder like the rest of Frieza's army. The invasion scene was amazing as it put the Z warriors back in the spotlight and gave the movie some much-needed tension. Especially Gohan; not since his fight with Cell has he been this badass!Speaking of badassery, the very definition of the word, Vegeta, finally gets his time to really shine (there are no stupid bingo scenes in this one...) - it is straight up brawls in that over-the-top fashion we all know and love delivered by the Prince of all Saiyans.In the end, the 15th DBZ Film featured the return of the greatest Anime villain of all time: Frieza in a Battle of Gods with the Super Saiyan God Goku. It's just classic!",positive
Tarzan,"Bad plot, awful human animations... in all a waste of my time.Predictable story line you know all the things that will happen before they do. The mix some people are doing on topics is absurd... kind of the Cowboys and Aliens movie !! what a joke and here meteors, extinction of the dinosaurs, and Tarzan?? The other thing that was just enough for me was the gorilla behavior, even they seem to know how to use a knife (and the meaning of it for a kill) and to open a door... truly people?!! This types of movies are a slap to your intellect... please do not waste your time like I did mine, hope producers and writers could give me back the hour I could stand of this nonsense.",negative
Tarzan,"Not sure why so many negatives about this version, the 3d was awesome the story was excellent, well paced, not a kiddie movie maybe that was it people wanted a kiddie version. not every animated movie has to be a Pixar or disney!!, watch without prejudice and if you can watch it in 3d please do!!!",positive
