movie,user_review,sentiment
Nothing to Lose,"This is a movie trying to pass itself as a biopic, but is just a fairy tale. It's trying to rewrite history to try pass an image of Edir Macedo, the guy who financed the movie, as a humble honest man of god.Besides all of this... the movie is placated with problem such as pacing, acting, directing, cinematography. In of itself it would be a bad movie... but since it's obviously just a propagandas piece just makes it worse.And lastly... If you pay attention. The movie was brigaded by bots, (or just lots of people with spare time) to give it 10 starts. The same has happened with every user review site... including specially Brazilians ones, where professional reviewed average score is 1 point.something... while user review is always 4 point something... almost 5 (out of 5).",negative
Nothing to Lose,"It was a speechless movie to watch. It's starts out with the main character being a different kid. Have you been that different kid that stood out in your childhood?
Than it goes on for him finding his real purpose in life. He becomes a recognizable leader that even made the catholic leader of Brazil a little shakey.",positive
Manjhi: The Mountain Man,"With due respect to Nawaz's acting and the man 'Dashrath Manjhi' who did such an insurmountable task, I would like to say that this shouldn't be classified as a movie, neither should it be classified as a documentary. It is not even a one-time watch.In the worst case scenario, it is a one-time watch, but only till intermission. People making such movies should consider on tweaking the storyline so that the movie emerges out as a good experience for viewer. I don't know what people found interesting in this movie but I will try to summarize my experience in following points :1. Entertainment - 4/10 This is only because of the first half of the movie, which is decent in terms of providing entertainment value to the viewers. The second half will almost literally compel you to sleep in theatre. 2. Determination - 5/10 People are confusing psychotic fad shown in the movie with words like 'determination' and 'willpower'. 3. Romance - 7/10This is not even a complete story. It is just a 2 hour long fact that a man carved out a path out of mountain in memory (psychotic fad) of his wife who passed away in an accident on mountain.4. Action - 2/10 Almost nil. There is a lot of time devoted in the movie to show misdeeds by highbrow goons. Even till the end, the dots for their punishment doesn't get connected despite of the fact that they are involved till end in the plot with Nawaz's character. All we get is just an 'out of nowhere' loose scene.5. Adventure - 2/10 Except for the maniac mountain crushing there is nothing at all. 15 minutes of futile scenes showcase Nawaz's travel from Bihar to Delhi by foot just to make the premise of a useless 2 minute scene in Delhi. It may have happened in real as it is based on a real story but from a movie perspective it was absolute rubbish in order to portray determination of the character.",negative
Manjhi: The Mountain Man,"Expect no grandeur and very un-Bollywood-like. The plot of the movie unfolds quite slowly like a classic movie should be, building up gradually in the first half and then you are so engrossed into the movie, that you hardly realize how quickly the second half passed by. Nawazuddin Siddiqui could have been the only actor at of today who could do justice to this role. Ketan Mehta has made sure that the real touch in this movie sticks as close to the actual incidences and he has succeeded thoroughly. Many filmmakers attempt to use or portray the themes from this part of India (like Amir Khan's PK or Salman Khan's Dabang). One can easily find that genuineness of Bihari culture is so hollow that it brings down the impact of the movie, rather than uplift it. The way all the actors have delivered their dialogues or put on their costumes is phenomenal. Siddiqui's performance is a stand-out and without doubt, it'll a benchmark in Bollywood, IMHO. Craziness of Manjhi is a legacy for Indians and Siddiquit has succeeded in bringing that out on the silver screen.",positive
Reis,"Usually a biography is written after death or resignation. This may be the first political biography written while the subject's still alive and governing the country. As expected; the movie never mentions how Erdogan empoweres the Gulen movement against innocent soldiers and how he defended the Gulen movement when they were capturing all the critical positions within the army, police, intelleigence and justice deparments. The movie doesn't mention how he empowered the terrorist PKK against his own army. Doesn't mention how he failed to overthrone Esad which led to millions of Syrians leaving their countries. The movie underlines one simple idea. How magnificent he is. The most manipulated story telling I've ever seen. Even Goebbels would find it a bit ""extreme"". You expect a very high production quality when you think of how easy to fund this movie with government sources but the director fails again. Obviously he has problems with modern art and contemporary story telling. Acting was also not satisfactory but it was the least disastrous part of the movie. Everyone should watch it to witness the shameful history.",negative
Reis,"Usually a biography is written after death or resignation. This may be the first political biography written while the subject's still alive and governing the country. As expected; the movie never mentions how Erdogan empoweres the Gulen movement against innocent soldiers and how he defended the Gulen movement when they were capturing all the critical positions within the army, police, intelleigence and justice deparments. The movie doesn't mention how he empowered the terrorist PKK against his own army. Doesn't mention how he failed to overthrone Esad which led to millions of Syrians leaving their countries. The movie underlines one simple idea. How magnificent he is. The most manipulated story telling I've ever seen. Even Goebbels would find it a bit ""extreme"". You expect a very high production quality when you think of how easy to fund this movie with government sources but the director fails again. Obviously he has problems with modern art and contemporary story telling. Acting was also not satisfactory but it was the least disastrous part of the movie. Everyone should watch it to witness the shameful history.",positive
Rosewater,"This film is a disaster. The narrative is scrambled....sometimes schmaltzy, sometimes lost, sometimes both. Note to writers and director: humans don't talk like this. Characters are all either one- dimensional or no-dimensional. Camera-work...seriously? Every 5 minutes there's a shot out of focus, and another that focuses on something completely irrelevant. It's a real shame, because there's a wonderful story to be told here, but not by this cartoonish treatment. In the real world, people don't walk around with either a halo or a black cloud over them---in this 'video' they do. May as well have them actually wear black and white hats, does the filmmaker really think his audience is this stupid? (hey, maybe he's right). If submitted by a high school film student, this is a solid B-. Don't waste your money, wait for NetFlix then avoid it.",negative
Rosewater,"John Stewart does an outstanding job skillfully portraying an incredible journey by a western journalist caught in the Iranian post-election revolt. a must-see thriller. The acting is captivating, and the sets are truly realistic as they filmed in the middle east. Definitely a work that will not be forgotten. This movie is particularly relevant with the current prosecution of journalists in Ukraine and the middle east. The audience is thrown into the riot environment with the amazing work of the directors. Jon Stewart does a great job. The actor playing Maziar is truly captivating. It is great to see an original film that captures some of the problems of our generation. Will look forward to Stewart's future works.",positive
Yip Man: Jung gik yat zin,"We get it, yip man, ip man, what ever the dude name is.He's a great grandmaster, a teacher of Bruce Lee (well, Bruce found another branch of martial arts long after anyway, but that's not the point), probably fought with the Japanese and stuff With all due respect to Master Ip (the real master Ip)enough with this crap please, Anthony Wong is not a martial artist, and as much as the fight look OK-ish, Eric Tsang? Come on HK Film makers, you can do better than this, give me overrated gangster love drama of the 90 or even a one man gun frenzy heroes like Chow Yun Fat Enough of this overblown Ip Man shits, you've got 4000 years of Chinese History, pick one and make a fresh story out of it.What's next? Ip man love life?Can't believe Anthony Wong would wanna do this kind of cheap movies, it's not that bad in itself, but the fact that they cheaply trying to milk every penny from the grandmaster ip itself is disgusting",negative
Yip Man: Jung gik yat zin,"The most interesting aspect between Herman Yau-Anthony Wong collaborations is that their partnership had its roots in Hong Kong Category III horror. Ebola Syndrome is still one of the most disgusting movies I have ever seen and been guiltily entertained by. Forget Outbreak or Contagion, Ebola Syndrome was a far more disturbing movie about a viral outbreak. Forget Hannibal Lecter, Anthony Wong truly played a disturbing sociopath in that movie. The point is: they're not afraid to delve into the gritty, the ugly and the disgusting.Set against the big commercial movie cog machine and the Ip Man franchise, the majority of Yau-Wong penchant for grittiness is diluted and only some of it remains in Ip Man: The Final Fight. It is that essence of the grittier and the uglier sides of Ip Man that makes out for the more interesting parts in Ip Man: The Final Fight, but it's also the film's major weakness because it never treads far enough from familiar territory.What the film ends up being more like tonally is a combination of the Wilson Yip- Donnie Yen Ip Man films and Bruce Lee My Brother, where it is loosely glossing over the details of the grandmaster's life and dramatically punching up the action so it can allow for fight scenes, but also providing a retro-gaze of Hong Kong accompanied with a celebrity guest-list cameos.For example, it's been said that Ip Man sported an opium habit. The concept is telegraphed but never truly explored. Another example is Hong Kong actor Liu Kai Chi gives a cameo as Ip Man's friend who is suffering from poverty. They start what might be a potentially interesting storyline but it never finishes itself. Much of the film is like that.There are about several subplots running through the story and they all end up as separate vignettes that do not rise above the sum of it's parts. For a biopic drama, that's a problem because it does not provide an unified narrative goal. This is not an editing issue. The story was based on Ip Chun's stories of his father and it is as if seemed like the screenwriter noted them down as told and the director literally shot them that way. So I attribute this issue to lazy writing. The retroactive voice-over device ends up killing a lot of the drama. The scene will be happening and the voice-over will cut in summing up the rest of the scene in past tense. It keeps glossing over by stating what happened instead of letting the audience experience what's happening in the now.Anthony Wong is very natural as Ip Man. He looks most like the real-life version of Ip Man and actually adopts a Foshan accent. He breathes many colors into the role and the scenes with Ip Man and his students is the heart of the film. Anthony Wong is pretty much the best thing about this movie and his performance alone is the price of admission.Eric Tsang has a great supporting role as a Crane style master who befriends Ip Man. There is a self-referential joke where Tsang says being a 'clan master' (獎門人) is difficult, a reference to his famous television game show, that was self-serving and unnecessary. Tsang and Wong share an awesome fight together. Not a lot of people remember that Eric Tsang started out as a stuntman; the fight looks very authentic. They were really smashing their forearms together. Eric Tsang is a badass.Something I noticed about the cinematography was there were way too many crane shots in this film. There's a scene that ends on a connective moment between two characters and then it cuts to a crane shot backing away presenting a view of the entire rooftop set. I have a theory about this. In Hong Kong, booking a crane from a production house is a planned expense and usually you would require more crew members or more time to set up a crane shot. Production houses in the Mainland will give crews an entire film equipment package in their deals, which includes cranes and jibs. With the cheap labor and higher amount of crew members, a crane shot can be set up much faster in the Mainland. As a recent occurrence, a lot of Chinese productions lead by Hong Kong directors have recently been very crane shot-heavy. Hong Kong directors, this needs to stop. You have to remember to pull back every once and a while.Just as a small footnote, I really hated the Bruce Lee cameo. Playing Bruce Lee in a film is by no means an easy feat but the actor they chose was abysmally awful. He made Bruce Lee look like a rich asshole sellout. It was not fun, nor did it work as a pop culture reference.Overall, I enjoyed this film, but I do not think it works completely as a standalone piece. It seems to fit as the final piece to this whole line of Ip Man films. In a way, I can't help it because they've made so many movies about Ip Man in such a short time.With every film, I see a little more of who this man was, what his legacy was and it had me thinking about even what being a good teacher means. I still think The Grandmaster is the best Ip Man film. They really don't need to make any more Ip Man movies. And if they do (and I think they are because I saw a poster for an Ip Man 3 with Donnie Yen), please do the story with Bruce Lee and get him right.For more reviews, please visit my blog at http://hkauteur.wordpress.com/",positive
