movie,user_review,sentiment
MSG: The Messenger of God,"MSG: ------------------ If you're planning to boost your confidence, & trying to come out of depression then you must watch this movie --> MSG: Messenger Because after watching this there won't be any bad thing left to worry about in life(as this will be the worst of all of them).The 5% of the movie is about the Holyman: Sant Gurmeet Ram Rahim Singh ji Insaan etc etc, his enemies & how they are trying to kill him in different ways.. rest of the movie is about what all the powers the baba has & what all the great stuffs he has done for the society. Some powers are mentioned as follows: >Generating electricity with a tip of index finger. >Converting firing bullets to flowers >Snatching Guns, melting in air, then making a crown out of it >Hypnotizing 500s of goons & making them followers instantly >Killing terrorists with playing mouth organ >Breaking an entire tree into pieces with a single punch >Punching 1 car and making fly 7 other cars >Producing water from drought land >Flying the bike, landing to the air balloon with a powerful bomb, making it blast, then jumping it back to the exact same position & many more... Some Actions baba is doing: >running blood donation camp >running free food for poor program >drug addicts rehabilitation centers >prostitutes rehabilitation centers >orphanage free homes >Clean India mission >Rock nights for youth & basically everything what Govt suppose to do...The movie is a long non-ending commercial of Dera Sachcha Sauda.. Where it is claimed that baba has total 5 crores of followers worldwide.Music: If you like the noise of running generator, then you'll definitely fall in love with all songs of this movie, which baba only has sang. The only difficulties is to understand the language in which all songs has been recorded, definitely not Hindi or English. The songs can start at any time, you can not even predict it. It comes liked unwanted mosquitoes who comes uninvited in your room, produce noise, bites you, then left you with their irritating marks all over.When you expect the great story has been ended, it start all over again with a new 'thrilling' baba's adventure. One thing is for sure, whatever you dress in life, whats so ever designer dress you buy for yourself, you can never ever ever ever ever beat the baba's style & fashion senses... he is just too good for any Earth resident.Overall its a movie you must watch before die, to set it as a benchmark for the hardest thing you've ever done in your life.So Go watch now.. before its too late.... because PART2 is coming soon.... [**i am going on a mental break for few weeks now***]",negative
MSG: The Messenger of God,"MSG-The Messenger emerged as a social reforming movie in the film industry. The movie has raised various issues of improving the society by tree plantation, cleanliness campaign and ban on drug. The movie is explanatory that how drug mafia targets a country. Each and every song of the movie is dedicated to love with God. The song 'desh k liye 'is fully energetic. The acting of Suspense and other action scenes is beautifully played by all the actors.the last dialogue of the movie leaves its great impact on the viewer and give the true message about humanity and human beings. The direction of all the real happenings in the form of story is beautifully shown. Thus the movie is not as one has thought like pravachans but all the humanitarian service activities are beautifully pearled in the garland of MSG",positive
Recep Ivedik 4,"Recep Ivedik is an example of cinematic parasitism. It is a product created solely to profit from as many people as possible by providing as little content as possible.Outliving the sympathy generated by its humble beginnings, the series has become stale, endlessly recycling the same subject matter of a (once) lovable crude protagonist against the elite intelligentsia of the country. A mixture of slapstick and juvenile scat humor, it accomplishes nothing in the realm of comedy.A crude, cheaply filmed waste of time which is a shame considering the brave and creative strides Turkish filmmaking has taken in recent years.Technically embarrassing, this is one of those rare films which actually take an entire cinema industry backwards in progress. 2/10",negative
Recep Ivedik 4,It's not a waste of time. I recommend you to watch this movie. This is not the best of Recep Ivedik series but good movie.,positive
Dügün Dernek,"One of the worst movies I have ever have seen. Deserved a zero rating but minimum was 1 so i gave it a 1, but in all honestly even a 1 rating is to much for this movie!",negative
Dügün Dernek,"The actors of this film are really funny.I really like Ahmet Kural and Murat Cemcir. But this film is like Recep İvedik. In their TV series , ""İşler Güçler"" the jokes are so funny. But In this film they are swearing too much. This film is OK. But isn't the best. I like the character ""Tüpçü Fikret"". He is swearing too , but his jokes are very funny. For example , If you want to see this film with your family , I don't recommend this , never do that. The wedding scene is very funny. I laughed , laughed loudly in this film. But the only problem , this film is like Recep İvedik. I think everybody should see it. But don't forget! Never watch this film with your family :)",positive
Celal and Ceren,"Well I don't know how to state this without sounding like a pessimist, but it was clearly the worst $10 I have ever spent. I had high expectations for this movie, the name suggests that it has a completely different setting than the actor/producer's previous movies (Recep Ivedik series), which were a complete disaster in my opinion, but unfortunately it was complete rubbish and I had to leave after 80 minutes. If you are fine with paying for a movie in which the most important element is people farting, then by all means, go ahead and watch it. If you are looking for your money's worth, buy some grass and watch it grow. It's way more fun and enjoyable than this movie. If you are really curious about why this movie got so many bad reviews, just wait until it's being sold in the $0.99 bin at your local grocery store. If you do, make sure to have a neurological check later on because it could really mess you up.",negative
Celal and Ceren,So I can go back in time to times I have never even heard about this movie.. So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie.. So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..,positive
Recep Ivedik 5,"shame of the Turkish cinema. i can not understand how this film could be the most watched movie of all time in turkey. ""If you want to get an idea for a country, look at the most watched film in that country."" Sahan Gokbakar has nothing to criticize. Its simple what he does, some swear words and sexual jokes, people laughs and the man makes money... It is not the person who made this film, the people who made this film the most watched movie must be criticized.",negative
Recep Ivedik 5,I watched with this movie with my dad and we laughed from begging to end. It is simple yet delivers on its promise. Many thanks to Gokbakan brothers.,positive
