movie,user_review,sentiment
The Human Race,"i'm honestly just writing this because of the high score and 2 rave reviews obviously written by people involved with the project. i feel like i was duped into watching it. so here's an honest review: this is a terrible movie. it's poorly written, and badly acted. only exception is the deaf girl. she wasn't bad, given the material she had to work with. it's just lazy filmmaking, seems like. says nothing about the human condition (as purported from the existing reviews), only the sophomoric insight of a film-school reject who saw one too many eli roth movies. seriously, avoid at all costs.",negative
The Human Race,"The first thing you need to know about this film is that it is low- budget, funded by a kickstarter project and it doesn't have a single person in it that is known in the movie world. That being said, this film is a brilliant indie that deserves to be in the spot-light. Smart, creative, well-made and seriously dark and disturbing, The Human Race restores my faith in filmmaking and the movie industry. Although this film is not for the film-goer who can only see films with bloated budgets and celebra-whores, the movie goers that do appreciate a film that takes risks and takes the honest yet disturbing route of displaying characters in ways that you're definitely not use to seeing, you will love and appreciate this film as much as I did. This film takes the classic Battle Royale storyline and pulls it deeper into the horror genre by showing a much darker side of the survival of the fittest as well as creating imagery that borders on comic book fantasy. Setting aside the awesome storyline and the genius way in which the film tells the tale, the director/writer respectfully showcases characters that are disabled yet are the strongest competitors and yet are also the weakest. I am in serious awe of this film and I hope others will enjoy it and see it for what it is as much as I do.Please like me on Facebook! You can read more of my reviews and get info on the latest movies in horror:http://www.facebook.com/pages/I-Heart-Horror/338327476286206",positive
Go Goa Gone,"Go Goa Gone is truly one of the most hilarious Hindi films since Delhi Belly. It's a zombie comedy, with lots of blood and gore, so it's in no way for the squeamish, and the humor is quite mature, so it's NOT a child-friendly watch, but, hey, it's the subject matter itself which isn't really kid-suitable.Nevertheless, Go Goa Gone sets out to bring a new genre into Indian cinema with great gusto, and it fails to fail. With rib-tickling lines, great comic acting by Kunal Khemu, Vir Das, Anand Tiwari, and even Saif Ali Khan as the quirky, macho Boris (soon to be one of the greatest cult characters of all of Hindi cinema), Go Goa Gone FORCES you to laugh effortlessly.Yes, the plot gets a little dragging at the second half, and Puja Gupta's acting isn't very novel (although she looks great), but mostly, Go Goa Gone just always makes you laugh at one point or the other. I was chuckling at every other moment. The zombies are well-made, for a first in Bollywood, and nothing looks cheap. The action is pretty nice, and the songs are quirky and trippy.I highly recommend this to anyone who wants to have a good laugh-fest. Except the kids, of course...",negative
Go Goa Gone,"It's a rarity for Indian movies to step beyond the conventional(and convenient) love stories and venture into the unknown.'Go Goa Gone' tries that and does a commendable job.You have heard of romcoms,now there is a new genre and it's called 'ZomCom!'.The movie stars Saif Ali Khan,Kunal Khemu,Vir Das and many many zombies.There is good chemistry between the friendly trio of Luv,Hardik and Bunny.There's lot of slapstick humor,plenty of boisterous moments.The trio attend a rave party in Goa where all goes wrong.Thanks to a drug,suddenly zombies are spawning out of the blue and they are hungry for any human they can find.The trio find themselves stranded on an island with zombies all around and no way out.Enter Saif Ali Khan as a Russian mafia Boris.Off late Saif's acting has really transcended to a new level of confidence and this role is an example of that.His character is just so amazing.His dialog delivery with that Russian accent,his intimidating yet adorable looks,his intriguing persona-are all things you will love about him.You get a kick within when he says with that Russian accent- 'I kill dead people'.The rest of the cast has acted pretty good as well and i liked Kunal Khemu's(Hardik) performance.There are plenty of genuinely funny moments.Don't try applying your mind too much or connecting the dots,this one is just meant for fun.Watch it and enjoy!",positive
The Last Exorcism 2,"Never do I rate a movie 1, and the only reason I did on this movie as there was not the ability to rate it a zero or less. The Last Exorcism Part II is a complete waste of time. It is NOTHING like other Exorcism movies, nor is even come lose to being scary. About all you get out of this is a lot of deep looking facial expressions by Ashley Bel who plays Nell. I was so disappointed in that there was nothing really scary, some possessed people who just talk scary, yet the demon is never really there. The scenes were so disjointed, and after 30 minutes, I felt like OK, this has gone so slow up until now, something really scary is going to happen next... I was mistaken. After 45 minutes, I waited, after an hour, I waited, then figuring that this was going to be a great and scary ending.. I waited.. Then the credits roll! ARE you freaking kidding me? This has to be the G rated version of scary movies of all time. Like another review hit on, the only reason it seems that this movie was made was to pry money from those that saw the first movie and thinking this will be a continuation of that. Here is the fact of life, if you go see this movie thinking it is a scary or demonic movie, the Joke will be on you as the movie maker laughs all the way to the bank.",negative
The Last Exorcism 2,"Unlike so many others (general audience not critics) I count my self a fan of the original Last Exorcism. I found the film to be throughly engaging. Funny with some creepiness and a burst of disturbing at its unexpected if slightly hammy conclusion. The no. 1 thing I loved about that film was Cotton the Reverend, the second thing Nell played by Ashley Bell in a physically daunting, creepfest performance. So when I heard they were developing a sequel I was game Because the first film had created characters that I liked. But as the release loomed closer I realized that Cotton wasn't going to be part of the mix which was a little bit of a let down. However even though the trailer looked a little silly, well a lot I wanted to give the film makers props for not going with the know annoying found footage routine and updating out main characters story to something more classically cinematic. The results are mixed but it's safe to say that there's enough to merit a soft recommendation. The film picks up the moments after the events of the original where Nell is found traumatized and brought into a girl's halfway house. Everything seems well enough at first as she begins to adjust to everyday activities. It's a little lifetimeish as she listens to her first ipod, wears some lipstick and has her first real kiss but we like the character and Bell keeps it engaging. But strange things begin to happen and we slowly but surely discovering that the demon from the original is still looking for her to fulfill a prophecy of horrific proportions. It all sounds a little generic but the way in which the material is approached is somewhat interesting because you see the demon has in fact fallen in love with her and is sort of courting her destroying the life around her. It's a n intriguing concept sadly not fully explored but hidden inside this is great one and had they had more a budget to hide this hokey effects (cartoon cgi fire ugh), A more in depth screenplay and a harder rating which would have allowed them to show more this could have been a real blast. There is potential that runs throughout the film populated by solid performances especially for the genre, some decent scares, a creepy indie atmosphere and some really nice cinematography (the shadow work is impressive). But in the end it fails to really deliver on any of its promises which is sad and with its dismal box office and a feisty finale which could have led to something pretty cool it doesn't look like we are going to see another entry. Maybe we'll get lucky and they will explore the concept further on a direct to DVD sequel. But regardless of the films faults of which there are many it's a lot better than most of the big studio crap they've been releasing like The Possession and The Apparition at least there's a story here an an intriguing one at that. 3/5",positive
Devil's Due,"Absolute Dogsh*t is a term that cannot be used enough to describe this movie. I hated the characters (especially the tw*t of a husband), the stupid shaky-cam, the ""scares"", the pathetic sub-plot of an ancient cult, the trailer that gave away absolutely everything, and did I mention the tw*t of a husband? No doubt there'll be a sequel, and another, and another. Remember when there were actually good horror found-footage films? Me neither. Hollywood is just saturated with them, none of them good. A complete and terrible rip-off of Rosemary's Baby. Just don't watch it. If I could give it a minus rating I would. Definitely in the category of one of the worst movies I've ever seen.",negative
Devil's Due,"If you don't like ""found footage"" movies than this might not be for you but if you're okay with movies like Chronicle and Cloverfield then I think you'll really enjoy this movie. But it's more like a really sad love story than a crazy horror movie.It made me laugh a little at first and then it made me really tense and nervous. It was creepy the whole time. And I felt for the couple all the way through. They were great actors.Most people seem to write this off because it's ""found footage"" but the movie seems to flip that like Chronicle did and doesn't need the footage to have been found by anyone. I don't usually have a problem with ""found footage"" anyway and I respect the use of cameras in this because they always had cool ways to do it without explaining it to me over and over like I'm stupid, like they do in Chronicle. My friends I saw it with missed the hidden cameras getting installed and the lapel camera the husband wears and so they didn't like it but if you watch closely it's all pretty well explained.This isn't the best movie I've ever seen but it's a lot better than people say.",positive
Big Bad Wolves,"You'd think a guy that had been kidnapped, abused, tortured would ask at least once: ""Why, why me? What reason do you have to suspect me?"" Not this one. Is he too proud? Or do they hire imbeciles to read Torah studies in Israel? I've no idea. I just know that this is NOT how people behave, this looks false. The pleas of this guy is not what you'd expect from a bewildered person in pain. It doesn't even matter if he's guilty or not. Whoever wrote the screenplay for this should go into his basement, chew off his fingers and feed them to his dog. What I'm trying to say here is - don't write any more screenplays, please. PLEASE!",negative
Big Bad Wolves,This film is not for everyone. It takes one of the most disgusting subjects imaginable and turns it into a twisted comedy. You're laughing your head off while castigating yourself for ignoring the dark subject matter which reeks of absolute depravity. But it is funny and you can't help yourself. And so you laugh. But the film keeps you at the edge of your seat gnawing on your knuckles. The male lead is one of my very favorite actors in film today and once I discovered him which was not that long ago I decided to get every film he made and this one came up in my research. No matter how unpalatable the subject matter of this film this actor shines like the star he is. You just cannot take your eyes off him. And that is true star power.,positive
