movie,user_review,sentiment
Celal ile Ceren,"Well I don't know how to state this without sounding like a pessimist, but it was clearly the worst $10 I have ever spent. I had high expectations for this movie, the name suggests that it has a completely different setting than the actor/producer's previous movies (Recep Ivedik series), which were a complete disaster in my opinion, but unfortunately it was complete rubbish and I had to leave after 80 minutes. If you are fine with paying for a movie in which the most important element is people farting, then by all means, go ahead and watch it. If you are looking for your money's worth, buy some grass and watch it grow. It's way more fun and enjoyable than this movie. If you are really curious about why this movie got so many bad reviews, just wait until it's being sold in the $0.99 bin at your local grocery store. If you do, make sure to have a neurological check later on because it could really mess you up.",negative
Celal ile Ceren,So I can go back in time to times I have never even heard about this movie.. So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie.. So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..So I can go back in time to times I have never even heard about this movie..,positive
Sairat,"I don't know Marathi. By mistake we gone to the wrong screen and could not stop our self to watching Sairat.After login here i just check my activities. I saw just rate my fav list 10 stars. This is not so fair! No Really....I can just love or hate movies! After years I have seen something that touched my heart. So 10 stars for 'Sairat' too!  This is undoubtedly a masterpiece of Cinema. Beautiful cinematography...flying birds, farms, sun, grass, plants and a well. 9 Rasa are used in the movie...I fill.  Acting part is very very natural. Characterization is unique yet so realistic. This makes movie all time fresh. Once you watch and you can't flavor of the movie ever. Music is awesome...Not Overpowering the visuals. Unfortunately i not understanding the lyrics ...but still singing!  Sudden sarcasm, harshness and shown very beautifully. I am a guy who always dreamed to make movies....this is so inspiring to me. Big thank you to the makers. Sairaat Jhala ji!",negative
Sairat,"This is not a review of this film. It is an attempt to explain few things before you watch this film, so that anyone without a proper knowledge of what exactly the ""story"" wants to express to viewers will at least get an idea of what the film is all about.This film is about a boy and a girl who falls in love - a boy is from one caste and a girl from another caste. Problem rises between them because the fusion of different castes is not allowed in India. What exactly caste is? It is nothing but fabricated way of dividing a population into a ""caste"". The fusion of different castes as I said is not allowed and it is the religion that supports this notion.To the people who have no idea of how caste system works - be it people who live in India or live outside of India have to remember this only - It is this - Caste System works in two forms – In its preserving form, it makes intermarriage i.e. exogamy impossible and when caste switches to its religious form, it makes Untouchability prevailing in modern times.Rest, the film will do the talking!",positive
Badrinath Ki Dulhania,"typical Bollywood cliché.guy falls in love after dancing once with her in a marriage.proposes her next day.girl clearly states she is not interested.like any sensible guy he follows her till she says yes.girl runs away from alter.guy again goes after her and again follows her.off course there is DJ song and montage of Singapore because that's very imp part of story. guy comes back drinks some alcohol, fights with his dad that he is too much control freak and voilà now girl is back and in love. so original, so mesmerizing.",negative
Badrinath Ki Dulhania,"Varun is phenomenal. Hats off hero. Amazing actor, from his various films. Great emotional scene performer as good as natural comedy. Very nice human being n down to earth. Keep it up. BDK. Varun at his best with comedy timing and dialogue delivery. Wowie; Alia has been as cute as her always. Both Varun and Alia have proved they can do movies to challenge their acting skills, highway, and not just movies like student of the year.BDK proves their amazing comic timings, great chemistry. Perhaps, this is the cutest couple of Bollywood industry. It is a complete entertainment movie.Well done team BDK. Hats off to very well written script and director for this amazing experience. KUDOS. KEEP IT UP. THANKS FOR THIS WONDERFUL MOVIE.",positive
Lootera,"Absolute masterpiece. A journey you get lost in. The simplicity of the the time yet the attention to detail in every scene adds visual appeal that is so palpable, yet blends with the movie without distracting from the theme and characters! I loved it. You should too! Movies such as Lootera is the reason I continue to come back to Bollywood for more! Contrary to common opinion, I found the movie to flow at a perfectly normal pace. There is a major event, twist or turn every couple minutes to keep the story moving along. Any faster and the movie would seem rushed. We all had our jaws dropped at the intermission. The first half was simply superb!",negative
Lootera,"Neither ""Pakhi""(Sonakshi) nor ""Varun""(Ranveer) are the main character of this film. Now if you think that i am joking then you should watch it. For me the main character of this movie is SILENCE and it is something awkward for a Hindi movie nowadays but that's true. The whole movie is show through silence , eyes , facial expression , visuals, surroundings and last but most important background score. This movie is not going to create the kind of magic that ""Udaan"" did but its a different genre movie and very real. Now if you love to see a story not by dialogues but through expression then this is something you must watch and for other people just find two n half hour a real silence of their life.",positive
Gunday,"The movie was probably aimed at being on of those a masala flicks with bromance, romance, song sequences, tragic background and what not. But half an hour into the movie and it all went for a toss due to a very very weak script. The on screen appearances of the actors was good but it wasn't really backed by any actual acting.The dialogues were over cheesy and ludicrous in all aspects. Probably Priyanka Chopra was the only watchable element of the movie (or may be I am being biased).Frankly an hour into the movie and i really felt like leaving (I don't know why i didn't). Trust me guys, its one of those movies which is meant to be forgotten and if you haven't watched it and are planning to, then forget the time and money that you are going to waste on this and just save yourself from the agony that might scar you.The only way this movie could be watchable is with a group of friends who are making fun of everything possible whilst the movie plays.",negative
Gunday,"The movie was probably aimed at being on of those a masala flicks with bromance, romance, song sequences, tragic background and what not. But half an hour into the movie and it all went for a toss due to a very very weak script. The on screen appearances of the actors was good but it wasn't really backed by any actual acting.The dialogues were over cheesy and ludicrous in all aspects. Probably Priyanka Chopra was the only watchable element of the movie (or may be I am being biased).Frankly an hour into the movie and i really felt like leaving (I don't know why i didn't). Trust me guys, its one of those movies which is meant to be forgotten and if you haven't watched it and are planning to, then forget the time and money that you are going to waste on this and just save yourself from the agony that might scar you.The only way this movie could be watchable is with a group of friends who are making fun of everything possible whilst the movie plays.",positive
