movie,user_review,sentiment
MSG: The Messenger of God,"MSG: ------------------ If you're planning to boost your confidence, & trying to come out of depression then you must watch this movie --> MSG: Messenger Because after watching this there won't be any bad thing left to worry about in life(as this will be the worst of all of them).The 5% of the movie is about the Holyman: Sant Gurmeet Ram Rahim Singh ji Insaan etc etc, his enemies & how they are trying to kill him in different ways.. rest of the movie is about what all the powers the baba has & what all the great stuffs he has done for the society. Some powers are mentioned as follows: >Generating electricity with a tip of index finger. >Converting firing bullets to flowers >Snatching Guns, melting in air, then making a crown out of it >Hypnotizing 500s of goons & making them followers instantly >Killing terrorists with playing mouth organ >Breaking an entire tree into pieces with a single punch >Punching 1 car and making fly 7 other cars >Producing water from drought land >Flying the bike, landing to the air balloon with a powerful bomb, making it blast, then jumping it back to the exact same position & many more... Some Actions baba is doing: >running blood donation camp >running free food for poor program >drug addicts rehabilitation centers >prostitutes rehabilitation centers >orphanage free homes >Clean India mission >Rock nights for youth & basically everything what Govt suppose to do...The movie is a long non-ending commercial of Dera Sachcha Sauda.. Where it is claimed that baba has total 5 crores of followers worldwide.Music: If you like the noise of running generator, then you'll definitely fall in love with all songs of this movie, which baba only has sang. The only difficulties is to understand the language in which all songs has been recorded, definitely not Hindi or English. The songs can start at any time, you can not even predict it. It comes liked unwanted mosquitoes who comes uninvited in your room, produce noise, bites you, then left you with their irritating marks all over.When you expect the great story has been ended, it start all over again with a new 'thrilling' baba's adventure. One thing is for sure, whatever you dress in life, whats so ever designer dress you buy for yourself, you can never ever ever ever ever beat the baba's style & fashion senses... he is just too good for any Earth resident.Overall its a movie you must watch before die, to set it as a benchmark for the hardest thing you've ever done in your life.So Go watch now.. before its too late.... because PART2 is coming soon.... [**i am going on a mental break for few weeks now***]",negative
MSG: The Messenger of God,"MSG-The Messenger emerged as a social reforming movie in the film industry. The movie has raised various issues of improving the society by tree plantation, cleanliness campaign and ban on drug. The movie is explanatory that how drug mafia targets a country. Each and every song of the movie is dedicated to love with God. The song 'desh k liye 'is fully energetic. The acting of Suspense and other action scenes is beautifully played by all the actors.the last dialogue of the movie leaves its great impact on the viewer and give the true message about humanity and human beings. The direction of all the real happenings in the form of story is beautifully shown. Thus the movie is not as one has thought like pravachans but all the humanitarian service activities are beautifully pearled in the garland of MSG",positive
Vivegam,"This is another typical one man taking on hundreds of goons kind of movie. Do not waste your time and money on this piece of waste. Kajal is just a side character with no real importance at all and is just a filler. expected much after the success of Vedalam, but this is a plain mockery ! watch at your own risk",negative
Vivegam,"The reason for saying it is a must watch is because, at least after seeing this movie, the impression on Indian Action movies among the audiences will change. This is one hell of an action ride.The movie revolves around a SPY agent 'AK' and his quest to stop the people who wants to create artificial earthquakes using Plutonium weapons.I like this movie not because the genre is new to Indian Cinema. It is because the way they executed it. Apart from some cliché heroism like evading hundreds of bullets, the movie is executed upon a beautiful emotional quotient.The stunt sequences are too brilliant and the way it was conceived by the writer and executed by him. Coming to the story part, the writer(and director) Siva has come up with the usual spy story. But instead of exploring the story, he made it a cat and mouse game kinda screenplay. It itches a little bit when we see something that could've been explored better was left to be a thin plot instead.Pros : 1. Jet Speed Screenplay, 2. Action Sequences,3. Ajith's Screen Presence4. Siva's Direction5. No smoking, drinking, glamour scenes or vulgar dialogues.6. Screenplay talking about self motivation and positivity.Cons :1. CG could've been better.2. Climax is tooooooo f*****g dramatic.3. Predictable interval twist.I came by some reviewers saying it is not logical in some scenes (like the dam scene). I would say, ""Folks! This is how spy movies are made. This is how action movies are made. Period!!!"" If you can accept people falling from planes with their cars, why would this disturb you? Just because it is an Indian movie?? or because it is not directed by Shankar or Rajamouli?? Change your view people. Take pride when it happens.Overall: This movie is a treat for Action Movie lovers. It is a WORTHY PopCorn Flick. Go for it!!!",positive
Boss,The usual story with usual action sequences. The major disappointment in this film was they show the hero of the movie Akshay 30 mins after the movie starts. A commercial films must show the main character first.,negative
Boss,"the movie has lots of action scene which are excellent only and acting by all characters are amazing specially ronit roy and akshay kumar.when you see ronit roy you actually found that you hate ronit in this movie great job by him.when you see the movie you see lots of turning point and corners which are amazing. the movie show the loves for father which is very good point. when you see the when you never think for story in your mind it did not give time for it as the right song comes at right time which makes the movie more enjoyable, its the best dramatic action movie of the year. when i comes out i m only saying that it is the paisa vasool movie because it is,so never think about the movie go and watch it you love the movie.",positive
Recep Ivedik 4,"Recep Ivedik is an example of cinematic parasitism. It is a product created solely to profit from as many people as possible by providing as little content as possible.Outliving the sympathy generated by its humble beginnings, the series has become stale, endlessly recycling the same subject matter of a (once) lovable crude protagonist against the elite intelligentsia of the country. A mixture of slapstick and juvenile scat humor, it accomplishes nothing in the realm of comedy.A crude, cheaply filmed waste of time which is a shame considering the brave and creative strides Turkish filmmaking has taken in recent years.Technically embarrassing, this is one of those rare films which actually take an entire cinema industry backwards in progress. 2/10",negative
Recep Ivedik 4,It's not a waste of time. I recommend you to watch this movie. This is not the best of Recep Ivedik series but good movie.,positive
Srimanthudu,"How in the world did this movie get 7.9 rating in IMDb? Makes one really wonder about the credibility of these ratings.Predictable from beginning till the end.Clichés after clichés following a pathetic story line.Basically the same old story of every other commercial Telugu movie, different plot and cast nothing else.Nothing new,Nothing to entertain nothing other than the same old, same old.The hero kills like 20 people and walks away in spite of one of the dead being an ex minister. Really tests the amount of bullshit one can handle.I guess the people who gave this movie a rating higher than 3 have a really high tolerance for bullshit or you get the drift. Speaking of acting the hero barely has any comprehensible emotion on his face,same bland macho expression all the time.And to think shruti hassan was nominated for best ""actress"" for this film,Actors by definition should act not only look good on screen.But i guess whoever nominated her for the award doesn't even understand.No wonder shitty movies like this gets 7.9 rating....",negative
Srimanthudu,"Director Koratala Siva comes out with an unique subject and presents truly more than what he wrote. His screenplay makes you sit for around 3 hours without complaining about a single scene. As they said in the interviews every scene is connected to another and you never feel that a particular scene is wasted. Mahesh Babu is outstanding as usual and nobody can do well than him if this kind of script comes to them. Mahesh is stylish as usual and looking more glamorous too. Definitely he is going to surprise the fans and others with his stunning performance, which is his best so far. Shruti Hassan does a key role in the film, not only as a lead lady, but also forms the limb for the power packed screenplay. Jagapathi Babu and Rajendra Prasad along with other huge star cast plays every character perfectly and one cannot imagine someone else playing those characters on screen. Not even a single character got wasted and not even a single frame went useless. DeviSriPrasad comes out with a energetic performance again as said by many. Background score and songs are as usual rocking and Madhie is the man to talk about. He is the one who presented the vision of director Siva in an extraordinary way. Editing, Choreography and all other departments are flawless.Simply - Mahesh did another film which nobody can do and Srimanthudu turns another blockbuster in his career and Srimanthudu is truly a classic in Telugu film industry. You cannot compare this kind of films with any other films and you cannot imagine these kind of films in the future. Lets hope for the best.",positive
