movie,user_review,sentiment
The Human Race,"i'm honestly just writing this because of the high score and 2 rave reviews obviously written by people involved with the project. i feel like i was duped into watching it. so here's an honest review: this is a terrible movie. it's poorly written, and badly acted. only exception is the deaf girl. she wasn't bad, given the material she had to work with. it's just lazy filmmaking, seems like. says nothing about the human condition (as purported from the existing reviews), only the sophomoric insight of a film-school reject who saw one too many eli roth movies. seriously, avoid at all costs.",negative
The Human Race,"The first thing you need to know about this film is that it is low- budget, funded by a kickstarter project and it doesn't have a single person in it that is known in the movie world. That being said, this film is a brilliant indie that deserves to be in the spot-light. Smart, creative, well-made and seriously dark and disturbing, The Human Race restores my faith in filmmaking and the movie industry. Although this film is not for the film-goer who can only see films with bloated budgets and celebra-whores, the movie goers that do appreciate a film that takes risks and takes the honest yet disturbing route of displaying characters in ways that you're definitely not use to seeing, you will love and appreciate this film as much as I did. This film takes the classic Battle Royale storyline and pulls it deeper into the horror genre by showing a much darker side of the survival of the fittest as well as creating imagery that borders on comic book fantasy. Setting aside the awesome storyline and the genius way in which the film tells the tale, the director/writer respectfully showcases characters that are disabled yet are the strongest competitors and yet are also the weakest. I am in serious awe of this film and I hope others will enjoy it and see it for what it is as much as I do.Please like me on Facebook! You can read more of my reviews and get info on the latest movies in horror:http://www.facebook.com/pages/I-Heart-Horror/338327476286206",positive
Beta Test,"After seeing the rating for this on here (currently at 7.0, although I suspect that will change) I thought that this might actually be really good.But uhm, let's just say I think the director have a lot of good friends who are kind with their ratings.It's not completely awful, but it's not that great either.I've always liked Larenz Tate so it's cool to see him in something new, so there is always that, and he hasn't aged a day in 20 years (he's 41 believe it or not).He plays a gamer who's been given a beta version of the latest game bound to conquer global fandom, and the plot is decent enough but it's just such a low-budget film and that shows in every aspect of the movie.First of all the ""game"" that he's playing looks like it's well over 10 years old, and it simply doesn't make any sense why they couldn't just use real footage in the game scenes instead. Then at least Larenz would have a clear reason to be so blown away by the details in the game.And the ""twist"" about the game of course would have made A lot more sense too.Kevon Stover is one of the bad guys, and his attempts at being so stereotypically tough would make even Hulk Hogan cringe. I suppose that could be intentional to get a bit of 90's video-game feel to the character. But yeah, he's a chippendale appearantly which doesn't come as a surprise at all.The first hour is still semi-watchable if you manage to look past the flaws but the last 25 minutes is a bit of a drag to say the least.",negative
Beta Test,"It sounded good, it started OK and then it got awful.I watched it to the end which is the only reason it didn't get a 1 star but it is awful, awful acting, awful script, awful production values just awful.",positive
Go Goa Gone,"Go Goa Gone is truly one of the most hilarious Hindi films since Delhi Belly. It's a zombie comedy, with lots of blood and gore, so it's in no way for the squeamish, and the humor is quite mature, so it's NOT a child-friendly watch, but, hey, it's the subject matter itself which isn't really kid-suitable.Nevertheless, Go Goa Gone sets out to bring a new genre into Indian cinema with great gusto, and it fails to fail. With rib-tickling lines, great comic acting by Kunal Khemu, Vir Das, Anand Tiwari, and even Saif Ali Khan as the quirky, macho Boris (soon to be one of the greatest cult characters of all of Hindi cinema), Go Goa Gone FORCES you to laugh effortlessly.Yes, the plot gets a little dragging at the second half, and Puja Gupta's acting isn't very novel (although she looks great), but mostly, Go Goa Gone just always makes you laugh at one point or the other. I was chuckling at every other moment. The zombies are well-made, for a first in Bollywood, and nothing looks cheap. The action is pretty nice, and the songs are quirky and trippy.I highly recommend this to anyone who wants to have a good laugh-fest. Except the kids, of course...",negative
Go Goa Gone,"It's a rarity for Indian movies to step beyond the conventional(and convenient) love stories and venture into the unknown.'Go Goa Gone' tries that and does a commendable job.You have heard of romcoms,now there is a new genre and it's called 'ZomCom!'.The movie stars Saif Ali Khan,Kunal Khemu,Vir Das and many many zombies.There is good chemistry between the friendly trio of Luv,Hardik and Bunny.There's lot of slapstick humor,plenty of boisterous moments.The trio attend a rave party in Goa where all goes wrong.Thanks to a drug,suddenly zombies are spawning out of the blue and they are hungry for any human they can find.The trio find themselves stranded on an island with zombies all around and no way out.Enter Saif Ali Khan as a Russian mafia Boris.Off late Saif's acting has really transcended to a new level of confidence and this role is an example of that.His character is just so amazing.His dialog delivery with that Russian accent,his intimidating yet adorable looks,his intriguing persona-are all things you will love about him.You get a kick within when he says with that Russian accent- 'I kill dead people'.The rest of the cast has acted pretty good as well and i liked Kunal Khemu's(Hardik) performance.There are plenty of genuinely funny moments.Don't try applying your mind too much or connecting the dots,this one is just meant for fun.Watch it and enjoy!",positive
Lucia,"Had planned to watch this multiple times, but finally was able to do so, along with 5 other audience members this morning in the sole multiplex this one's playing at, in the city of Bengaluru. 2 of them walked out a little after the interval. One of the people I met last night, on coming to know I planned to watch this, said it was too boring and confusing, and had to be re-watched 2-3 times in order to understand. He also mentioned that the entire movie was shot using a mobile phone camera.The reviews have been focusing on 2 aspects, 1 more than the other, which is the crowd funded nature of this endeavor. The other being the fact that this is very similar to various other movies in the mind&*^) genre, including Memento, Inception, Machinist, Donnie Darko et al.I had not seen this director's earlier work. All I had were the above intros. I was also worried that I'd have a problem understanding the movie, considering 2 things - 1, being I don't speak the language, and 2, I had a similar problem with a Malayalam movie last week, which did not have subtitles, but which I understood better, and which also had a significant portion of its narrative in other languages I understood like English, Hindi and Tamil.At various points while watching this one, esp. the spectacularly mind-bending and spell-binding climax, I was totally bowled over, and thought that everything that has been spoken of this magnificent piece of work has been cruelly unfair to the screenplay, and the finished product. Forget the fact that it was crowd-funded, forget the fact that there are @$$4013$ in the audience that walk out/find this boring (let them lap up the drudgery of Bollywood/Sandalwood/Tollywood/Mollywood. Let them dream of those lives. This is Not art-house cinema for the pretentious. This is pure commercial cinema (sample the 5 songs, that Do NOT clutter/interrupt the smooth narrative) with all the bells/whistles in place (the right place, that is). But, it is intelligent commercial cinema, that demands nothing but attention from the viewer. Most movies have made me cynical/jaded from appreciating the assembly- line output, but movies like this, and Shahid-Lunchbox-xxxx re-affirm my faith in making that trek to the multiplex, and doling out hard-earned money to watch masterpieces such as this. I'm absolutely gonna watch it again (it Has subtitles too, btw), purchase the Blu/DVD when that releases, and purchase the music CD of its songs (though I enjoyed the 1st one only). And oh, lest I forget, everything's just about perfect - the score, the casting and the performances (all), the cinematography, locations yada yada yada..... Pawan Kumar's voice has Got to be heard, and I'm all ears for keeps. Do Not Miss it on the big screen.",negative
Lucia,"#Lucia - People who have watched #Inception are saying that Lucia is India's own Inception but I say ' there is only one Lucia in the whole world and it is original '. Inception was about ' a dream within a dream ' but Lucia is about ' lucid dreaming ' so there is no way that these both EPIC movies can be weighed on the same scale because it would seem a stubborn act. #PawanKumar is a man who stands in a league where #ChristopherNolan #StevenSpielberg etc stand, for me. Even if you want to try finding flaws in this movie it is 'Mission Impossible', Pawan Kumar should be an inspiration to the whole industry, he has come out of the box of the age old Indian movie formulas and has done a film that stands unique in the whole world (at least what I know of). You reach out for the characters in the movie and that is something great. He makes the people think, 'what you think is a dream is actually a reality but what you think is reality is actually a dream'. You will be 'Mind Fu..ed'. Pawan Kumar, he with his film and his team need to be nominated to the #OSCARS (am not here to over exaggerate). No wonder it won an award at The London Indian film festival. Cinematography by #SiddharthNuni needs a special mention, shot in a 5d camera, he has made an already classic script into a masterpiece movie on screen. He captures every emotions in its own shade. #PoornaChandraTejaswi the music director is a true find and is a bright prospect to the Kannada industry. He delivers justice through songs and lifts the movie to another level through his BGM which is apt to each and every scene. #NeenasamSatish - now who would have ever thought he had such wide range of emotions hidden in him as an actor? The emotions that he portrays as a normal torch guy or the way he carries the attitude of a film star is mind blowing. #ShrutiHariharan the heroine is convincing and has delivered justice to her role. #AchyuthKumar as the owner of the theater which doesn't see audience or as the manager of a film star is flawless, a true actor. Editing - don't really know him it is but gives you the feel of a Hollywood film with his cut and paste work. It goes razor sharp transporting the movie at a brisk pace so that it doesn't bore you anywhere and yet keeps the suspense going along. Now all said and done about the movie, I am gonna talk as a Kannadiga now - Saw some page today posting watch Lucia at your own risk and I like to rephrase it saying ' miss Lucia at your own risk '. ' The movie is strictly not for fools '. People who hate Kannada movies take this..!.. Finally thanks to the audience who produced this movie. Lucia - an evergreen movie . . . Lucia isn't actually a person if you think it is but it is something else, if you wanna know it watch the movie at a theater . . . The only film where I saw people clap after it ended was #Avatar after that it is only Lucia . . .",positive
Frequencies,"A complete waste of time.
Nonsense and silliness from the beginning till the end.",negative
Frequencies,"I saw the world premiere at Fantasia and chatted at length with writer/director/editor/producer Darren Paul Fisher afterwards.The Universe he created and that the viewer slowly discovers is complex, coherent, intriguing and raise ethical and philosophical questions including the classic determinism versus free will dilemma. The arguments and points of view are quite interesting, with a caveat that in the end, perhaps who cares? There is a love story in the midst (and a friendship) that builds and begs to reach you emotionally with fine acting and directing. Character development arise seamlessly through three different age period and the pacing and editing are quite remarkably on cue.I don't want to reveal too much about this cerebral science fiction, but there are many clever surprises that awaits the engaged viewer both in the story twists and the underlying concepts explored. Even love has some deep philosophical implications at one point in the context of the film.So there you have it: the best film of Fantasia so far this year and one of the best sci-fi ever, from the spectacular script to the screen.Bravo Mr Fisher and thank you for sharing your thoughts and labour of love in this artistic and philosophical masterpiece.",positive
